Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month Number
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Zephr Winters,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.5439999999999996,3,0.8,-3.8160000000000016,2015,November,11
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Buckminster King,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.317599999999999,2014,November,11
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Hayley Todd,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.989999999999995,2014,May,5
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Wyatt Hoover,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4823999999999993,2014,August,8
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Heidi Ellis,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48000000000002,3,0.2,16.01099999999998,2014,August,8
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Malik Hays,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.383999999999999,2014,August,8
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Erica King,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.459999999999997,7,0.0,5.0596,2016,December,12
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Josephine Trevino,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.339999999999996,7,0.0,15.688400000000001,2016,December,12
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Marny Drake,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37199999999999,2,0.3,-1.0196000000000005,2017,July,7
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Felicia Short,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.6299999999999,3,0.0,240.2649,2015,September,9
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Gisela Tran,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648000000000001,2,0.2,4.2224,2016,January,1
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Quinlan Graves,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57000000000001,3,0.0,11.774100000000004,2016,January,1
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Randall Baxter,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.4300000000003,7,0.5,-1665.0522,2015,September,9
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tobias Craig,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618000000000002,2,0.7,-7.0532,2015,September,9
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Mollie Weber,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20000000000002,3,0.2,15.524999999999991,2015,September,9
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Noel Rocha,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.2640000000000002,2,0.2,1.1015999999999997,2015,September,9
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Lev Joyce,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.709199999999989,2015,September,9
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Heidi Olson,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858000000000001,6,0.7,-5.715,2015,September,9
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Guy Kidd,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.5460000000000007,2015,September,9
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Giselle Knight,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.946799999999998,2017,October,10
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Keiko Mcdaniel,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.5440000000003,7,0.2,123.4736999999999,2016,December,12
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Cain Keith,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96300000000002,2016,December,12
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Stacy Mcfarland,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2015,December,12
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Sebastian Lancaster,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.97640000000001,2015,December,12
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Jaden Kaufman,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.146999999999991,2015,December,12
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Carissa Cash,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.75639999999996,2015,December,12
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Blaine Garrett,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.556399999999996,2017,September,9
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Plato Benson,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.8939999999999912,2016,July,7
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Basia Sweet,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.56160000000001,2017,September,9
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Joelle Swanson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2016,March,3
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Oscar Mccray,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.206199999999999,2016,March,3
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Vivian Weber,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.478399999999993,2014,October,10
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Gail Norton,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.950000000000001,2016,June,6
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Roary Harding,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104000000000001,2016,June,6
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Forrest Mckay,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2015,April,4
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Tatum Pena,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.17999999999999,6,0.0,35.334599999999995,2015,April,4
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Lucius Hodge,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,2015,April,4
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Maite Strickland,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.098099999999988,2015,April,4
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Gregory Strickland,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.260000000000002,7,0.0,6.256600000000001,2016,December,12
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Medge Henderson,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,2016,December,12
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Devin Mayo,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.139999999999986,2016,June,6
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Luke Rice,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.400000000000006,5,0.0,15.552000000000001,2016,June,6
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Palmer Terry,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098000000000006,2016,June,6
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Kay Mayer,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,2016,June,6
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Paul Atkinson,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3000000000000007,2016,June,6
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Alexis Puckett,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.480000000000004,4,0.2,16.362,2016,June,6
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Hedy Holman,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,2016,June,6
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Neve Weiss,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.151200000000001,2015,November,11
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Lucian Delgado,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,2015,November,11
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Rafael Strickland,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,2015,November,11
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Zane Whitley,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.332800000000006,2015,November,11
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Xandra Leach,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.11499999999998,5,0.3,-15.22250000000001,2015,April,4
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Allen Alvarez,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.0240000000001,8,0.2,111.30239999999998,2014,December,12
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Fuller Jacobs,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.96800000000002,4,0.2,62.988,2014,December,12
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Jeanette Herrera,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.663599999999995,2016,June,6
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Mia Mitchell,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.7309999999999999,2016,September,9
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Britanni Avery,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.049999999999997,3,0.0,8.763,2017,September,9
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Adele Macias,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.9360000000001,8,0.2,-114.39120000000003,2015,April,4
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Lisandra Franklin,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.2129999999999974,2015,April,4
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Tobias Cabrera,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,2015,April,4
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Galvin Wagner,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.2479999999999998,3,0.8,-1.9344000000000006,2017,December,12
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Reese Walker,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248000000000015,2017,December,12
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Michelle Stone,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.240000000000002,3,0.2,2.724000000000002,2017,December,12
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Garrett Jensen,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475000000000001,2014,November,11
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Nomlanga Gibson,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.20320000000001,2016,June,6
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Dieter Wolf,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.740000000000002,3,0.0,8.0352,2016,June,6
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Yen Ramirez,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172000000000001,2014,October,10
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Minerva Garrison,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.203099999999999,2014,October,10
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Hillary Myers,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98400000000004,7,0.2,62.807499999999976,2015,September,9
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Ivor Herman,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2017,November,11
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Salvador Terrell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.215599999999995,2017,May,5
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Noel Craig,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.796599999999998,2017,October,10
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Hashim Santiago,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,2017,October,10
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Leigh Conway,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.36800000000002,7,0.2,13.857199999999999,2016,April,4
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Emily Sutton,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.632999999999998,2016,September,9
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Daphne Melton,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.278199999999998,2016,September,9
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Rama Bernard,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104000000000003,2016,September,9
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Olivia Hebert,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208000000000006,2015,January,1
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Caesar Meyers,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.535399999999996,2015,January,1
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Aaron Collins,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,2015,January,1
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Echo Andrews,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682000000000001,1,0.7,-3.7880000000000003,2017,November,11
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Melvin Cotton,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2017,November,11
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Lesley Robbins,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,2017,June,6
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Buffy Koch,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.585199999999993,2016,September,9
